pdb,resolution,year,target,value,unit,precision,chains,number_of_chains,coefficient,logM
1mlc,2.5,1995,Kd,91.0,nM,=,"A,B,C,D,E,F",6.0,1e-08,-6.040958607678906
1rlb,3.1,1996,Kd,0.8,uM,=,"A,B,C,D,E,F",6.0,1e-05,-5.096910013008056
1mah,3.2,1996,Kd,25.0,pM,=,"A,F",2.0,1e-11,-9.602059991327963
1mtn,2.8,1996,Kd,9.5,nM,=,"A,B,C,D,E,F,G,H",8.0,1e-08,-7.022276394711152
1tbr,2.6,1996,Ki,0.2,pM,=,"L,H,J,K,R,S",6.0,1e-11,-11.698970004336019
1tbq,3.1,1996,Ki,0.2,pM,=,"L,H,J,K,R,S",6.0,1e-11,-11.698970004336019
1dit,2.3,1996,Ki,1.0,pM,=,"L,H,P",3.0,1e-11,-11.0
1efn,2.5,1997,Kd,0.38,uM,=,"A,B,C,D",4.0,1e-05,-5.42021640338319
1akj,2.65,1997,Kd,126.0,uM,=,"A,B,C,D,E",5.0,1e-05,-2.899629454882437
1ak4,2.36,1997,Kd,17.0,uM,=,"A,B,C,D",4.0,1e-05,-3.769551078621726
1gua,2.0,1997,Kd,40.0,nM,=,"A,B",2.0,1e-08,-6.3979400086720375
1ycs,2.2,1997,Kd,30.0,nM,~,"A,B",2.0,1e-08,-6.522878745280337
1taw,1.8,1997,Ki,0.02,nM,<,"A,B",2.0,1e-08,-9.698970004336019
1bth,2.3,1997,Ki,10.0,nM,=,"L,H,J,K,P,Q",6.0,1e-08,-7.0
1hia,2.4,1997,Ki,13.0,nM,=,"A,B,I,X,Y,J",6.0,1e-08,-6.886056647693163
1cbw,2.6,1997,Ki,16.0,nM,=,"A,B,C,D,F,G,H,I",8.0,1e-08,-6.795880017344075
1toc,3.1,1997,Ki,1.0,pM,=,"A,B,R,C,D,S,E,F,T,G,H,U",12.0,1e-11,-11.0
1dhk,1.85,1997,Ki,35.0,pM,=,"A,B,C,D",4.0,1e-11,-9.455931955649724
1dfj,2.5,1997,Ki,59.0,fM,=,"E,I",2.0,1e-14,-12.229147988357855
1fle,1.9,1997,Ki,6.0,nM,=,"E,I",2.0,1e-08,-7.221848749616356
1ca0,2.1,1997,Ki,7.1,nM,=,"A,B,C,D,F,G,H,I",8.0,1e-08,-7.1487416512809245
1b27,2.1,1998,Kd,0.01,pM,=,"A,B,C,D,E,F",6.0,1e-11,-13.0
1wej,1.8,1998,Kd,0.06,uM,=,"L,H,F",3.0,1e-05,-6.221848749616356
1a22,2.6,1998,Kd,0.34,nM,=,"A,B",2.0,1e-08,-8.468521082957745
1a3b,1.8,1998,Kd,0.3,nM,=,"L,H,I",3.0,1e-08,-8.522878745280337
1b2u,2.1,1998,Kd,100.0,nM,=,"A,B,C,D,E,F",6.0,1e-08,-6.0
1xdt,2.65,1998,Kd,10.0,nM,=,"T,R",2.0,1e-08,-7.0
1b3s,2.39,1998,Kd,117.0,pM,=,"A,B,C,D,E,F",6.0,1e-11,-8.931814138253838
1jrh,2.8,1998,Kd,14.2,nM,=,"L,H,I",3.0,1e-08,-6.847711655616943
1axi,2.1,1998,Kd,14.0,nM,=,"A,B",2.0,1e-08,-6.853871964321762
1avz,3.0,1998,Kd,15.8,uM,=,"A,B,C",3.0,1e-05,-3.8013429130455774
1a2k,2.5,1998,Kd,150.0,nM,=,"A,B,C,D,E",5.0,1e-08,-5.823908740944319
1b2s,1.82,1998,Kd,157.0,pM,=,"A,B,C,D,E,F",6.0,1e-11,-8.804100347590767
1wq1,2.5,1998,Kd,17.0,uM,=,"R,G",2.0,1e-05,-3.769551078621726
2vir,3.25,1998,Kd,1.0,nM,=,,,1e-08,-8.0
2jel,2.5,1998,Kd,2.8,nM,=,,,1e-08,-7.552841968657781
1avg,2.6,1998,Kd,3.0,pM,=,"L,H,I",3.0,1e-11,-10.522878745280337
2vis,3.25,1998,Kd,4.0,uM,=,,,1e-05,-4.3979400086720375
1avx,1.9,1998,Kd,60.0,fM,=,"A,B",2.0,1e-14,-12.221848749616356
1buh,2.6,1998,Kd,77.0,nM,=,"A,B",2.0,1e-08,-6.113509274827518
1a4y,2.0,1998,Ki,1.0,fM,<,"A,B,D,E",4.0,1e-14,-14.0
1kig,3.0,1998,Ki,0.18,nM,=,"H,L,I",3.0,1e-08,-8.744727494896694
1an1,2.03,1998,Ki,0.9,nM,=,"E,I",2.0,1e-08,-8.045757490560675
1ldt,1.9,1998,Ki,1.8,nM,=,"T,L",2.0,1e-08,-7.7447274948966935
1fmo,2.2,1998,Ki,2.3,nM,=,"E,I",2.0,1e-08,-7.638272163982407
1ahw,3.0,1998,Ki,3.4,nM,=,"A,B,C,D,E,F",6.0,1e-08,-7.468521082957745
1azz,2.3,1998,Ki,510.0,pM,=,"A,B,C,D",4.0,1e-11,-8.292429823902063
1bvn,2.5,1998,Ki,9.0,pM,=,"P,T",2.0,1e-11,-10.045757490560675
1ugh,1.9,1999,IC50,12.0,pM,=,"E,I",2.0,1e-11,-9.920818753952375
1vpp,1.9,1999,IC50,8.2,uM,=,"V,W,X,Y",4.0,1e-05,-4.086186147616283
1b6c,2.6,1999,Kd,0.28,uM,=,"A,B,C,D,E,F,G,H",8.0,1e-05,-5.552841968657781
1ibr,2.3,1999,Kd,0.3,nM,=,"A,B,C,D",4.0,1e-08,-8.522878745280337
1flt,1.7,1999,Kd,1.356,nM,=,"V,W,X,Y",4.0,1e-08,-7.867740310468955
1uug,2.4,1999,Kd,1.3,uM,=,"A,B,C,D",4.0,1e-05,-4.886056647693163
1lfd,2.1,1999,Kd,1.9,uM,=,"A,B,C,D",4.0,1e-05,-4.721246399047171
1kac,2.6,1999,Kd,14.8,nM,=,"A,B",2.0,1e-08,-6.8297382846050425
1sbb,2.4,1999,Kd,140.0,uM,=,"A,B,C,D",4.0,1e-05,-2.853871964321762
1bvk,2.7,1999,Kd,14.0,nM,=,"A,B,C,D,E,F",6.0,1e-08,-6.853871964321762
1eer,1.9,1999,Kd,1.0,nM,=,"A,B,C",3.0,1e-08,-8.0
1tba,0.0,1999,Kd,1.0,nM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",50.0,1e-08,-8.0
1ay7,1.7,1999,Kd,1.0,uM,=,"A,B",2.0,1e-05,-5.0
1cn4,2.8,1999,Kd,1.0,uM,=,"A,B,C",3.0,1e-05,-5.0
1qa9,3.2,1999,Kd,1.0,uM,=,"A,B,C,D",4.0,1e-05,-5.0
1bj1,2.4,1999,Kd,3.4,nM,=,"L,H,V,W,J,K",6.0,1e-08,-7.468521082957745
1grn,2.1,1999,Kd,388.0,nM,=,"A,B",2.0,1e-08,-5.411168274405792
1qfu,2.8,1999,Kd,3.0,nM,=,"A,B,L,H,C,D",6.0,1e-08,-7.522878745280337
1vrk,1.9,1999,Kd,6.8,nM,=,"A,B",2.0,1e-08,-7.167491087293763
1qse,2.8,1999,Kd,7.2,uM,=,"A,B,C,D,E",5.0,1e-05,-4.142667503568732
4thn,2.5,1999,Ki,0.09,nM,=,,,1e-08,-9.045757490560675
1ava,1.9,1999,Ki,0.22,nM,=,"A,B,C,D",4.0,1e-08,-8.657577319177793
1qur,2.0,1999,Ki,0.29,pM,=,"L,H,I",3.0,1e-11,-11.537602002101044
1fak,2.1,1999,Ki,0.4,nM,=,"L,H,T,I",4.0,1e-08,-8.397940008672037
1cmx,2.25,1999,Ki,1.7,uM,=,"A,B,C,D",4.0,1e-05,-4.769551078621726
1es0,2.6,2000,IC50,0.08,uM,=,"A,B",2.0,1e-05,-6.096910013008056
1fg9,2.9,2000,Kd,0.1,nM,=,"A,B,C,D,E",5.0,1e-08,-9.0
1cz8,2.4,2000,Kd,0.11,nM,=,"V,W,L,H,X,Y",6.0,1e-08,-8.958607314841775
1g9i,2.2,2000,Kd,0.12,uM,=,"E,I",2.0,1e-05,-5.920818753952375
1d6r,2.3,2000,Kd,0.13,nM,=,"A,I",2.0,1e-08,-8.886056647693163
1fsk,2.9,2000,Kd,0.24,nM,=,"A,B,C,D,E,F,G,H,I,J,K,L",12.0,1e-08,-8.619788758288394
1ffx,3.95,2000,Kd,0.2,uM,=,"A,B,C,D,E",5.0,1e-05,-5.698970004336019
1dee,2.7,2000,Kd,0.4,uM,=,"A,B,C,D,E,F,G,H",8.0,1e-05,-5.3979400086720375
1e4k,3.2,2000,Kd,1.7,uM,=,"A,B,C,D,E",5.0,1e-05,-4.769551078621726
1qfw,3.5,2000,Kd,10.0,nM,=,"A,B,L,H,M,I",6.0,1e-08,-7.0
1qty,2.7,2000,Kd,10.0,pM,=,"V,W,R,S,X,Y,T,U",8.0,1e-11,-10.0
1du3,2.2,2000,Kd,15.9,nM,=,"A,B,C,D,E,F,G,H,I,J,K,L",12.0,1e-08,-6.798602875679548
1e96,2.4,2000,Kd,2.7,uM,=,"A,B",2.0,1e-05,-4.568636235841013
1dqj,2.0,2000,Kd,2.8,nM,=,"A,B,C",3.0,1e-08,-7.552841968657781
1ees,0.0,2000,Kd,20.0,nM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",40.0,1e-08,-6.698970004336019
1emv,1.7,2000,Kd,24.0,fM,=,"A,B",2.0,1e-14,-12.619788758288394
1de4,2.8,2000,Kd,24.0,nM,=,"A,B,C,D,E,F,G,H,I",9.0,1e-08,-6.619788758288394
1e6j,3.0,2000,Kd,29.0,nM,=,"H,L,P",3.0,1e-08,-6.5376020021010435
1djs,2.4,2000,Kd,41.0,nM,=,"A,B",2.0,1e-08,-6.3872161432802645
1dzb,2.0,2000,Kd,520.0,nM,=,"A,B,X,Y",4.0,1e-08,-5.2839966563652006
1f3v,2.0,2000,Kd,7.8,uM,=,"A,B",2.0,1e-05,-4.107905397309519
1g6v,3.5,2000,Kd,72.0,nM,=,"A,K",2.0,1e-08,-6.142667503568732
1eo8,2.8,2000,Kd,8.9,nM,=,"A,B,L,H,C,D",6.0,1e-08,-7.050609993355087
1efx,3.0,2000,Kd,9.5,uM,=,"A,B,C,D,E",5.0,1e-05,-4.022276394711152
1clv,2.0,2000,Kd,1.0,nM,~,"A,I",2.0,1e-08,-8.0
1ezu,2.4,2000,Ki,0.08,nM,=,"A,B,C,D",4.0,1e-08,-9.096910013008056
1ezs,2.3,2000,Ki,0.18,nM,=,"A,B,C,D",4.0,1e-08,-8.744727494896694
1dp5,2.2,2000,Ki,0.9,nM,=,"A,B,C",3.0,1e-08,-8.045757490560675
1c9t,3.3,2000,Ki,1.0,nM,=,"A,B,C,D,E,F,G,H,I,J,K,L",12.0,1e-08,-8.0
1c9p,2.8,2000,Ki,1.0,nM,=,"A,B",2.0,1e-08,-8.0
1icf,2.0,2000,Ki,1.7,pM,=,"A,B,C,D,I,J",6.0,1e-11,-10.769551078621726
1dpj,1.8,2000,Ki,3.0,nM,=,"A,B,C",3.0,1e-08,-7.522878745280337
1fy8,1.7,2000,Ki,9.0,uM,=,"E,I",2.0,1e-05,-4.045757490560675
1hqr,3.2,2001,Kd,0.1,uM,=,"A,B,C,D",4.0,1e-05,-6.0
1i4e,3.0,2001,Kd,0.12,uM,=,"A,B",2.0,1e-05,-5.920818753952375
1hez,2.7,2001,Kd,0.145,uM,=,"A,B,C,D,E",5.0,1e-05,-5.838631997765025
1f34,2.45,2001,Kd,0.1,nM,=,"A,B",2.0,1e-08,-9.0
1i8l,3.0,2001,Kd,0.2,uM,=,"A,B,C,D",4.0,1e-05,-5.698970004336019
1hxy,2.6,2001,Kd,0.5,nM,=,"A,B,C,D",4.0,1e-08,-8.301029995663981
1g5j,0.0,2001,Kd,0.6,nM,=,"A,B",2.0,1e-08,-8.221848749616356
1e6e,2.3,2001,Kd,0.86,uM,=,"A,B,C,D",4.0,1e-05,-5.0655015487564325
1ffw,2.7,2001,Kd,1.2,uM,=,"A,B,C,D",4.0,1e-05,-4.920818753952375
1iqd,2.0,2001,Kd,14.0,pM,=,"A,B,C",3.0,1e-11,-9.853871964321762
1gcq,1.68,2001,Kd,16.8,uM,=,"A,B,C",3.0,1e-05,-3.774690718274137
1e3u,1.66,2001,Kd,1.0,uM,=,"A,B,C,D",4.0,1e-05,-5.0
1i2m,1.76,2001,Kd,2.5,pM,=,"A,B,C,D",4.0,1e-11,-10.602059991327963
1he8,3.0,2001,Kd,2.5,uM,=,"A,B",2.0,1e-05,-4.6020599913279625
1hcf,2.7,2001,Kd,260.0,pM,=,"A,B,X,Y",4.0,1e-11,-8.585026652029182
1fe8,2.03,2001,Kd,2.0,uM,=,"A,H,L,B,I,M,C,J,N,D,E,F",12.0,1e-05,-4.698970004336019
1ewy,2.38,2001,Kd,3.57,uM,=,"A,B,C",3.0,1e-05,-4.447331783887806
1ib1,2.7,2001,Kd,350.0,uM,=,"A,B,C,D,E,F,G,H",8.0,1e-05,-2.4559319556497243
1j7v,2.9,2001,Kd,35.0,pM,=,"L,R",2.0,1e-11,-9.455931955649724
1i4d,2.5,2001,Kd,3.0,uM,=,"A,B,D",3.0,1e-05,-4.522878745280337
1i5k,2.7,2001,Kd,42.0,nM,=,"A,B,C,D",4.0,1e-08,-6.376750709602099
1jiw,1.74,2001,Kd,4.0,pM,=,"P,I",2.0,1e-11,-10.397940008672037
1fqj,2.02,2001,Kd,67.0,nM,=,"A,B,C,D,E",5.0,1e-08,-6.173925197299173
1j7d,1.85,2001,Kd,2.0,uM,~,"A,B",2.0,1e-05,-4.698970004336019
1g0v,2.0,2001,Ki,0.1,nM,<,"A,B,C",3.0,1e-08,-9.0
1jtg,1.73,2001,Ki,0.11,nM,=,"A,B,C,D",4.0,1e-08,-8.958607314841775
1gl1,2.1,2001,Ki,0.13,nM,=,"A,B,C,I,J,K",6.0,1e-08,-8.886056647693163
1gl0,3.0,2001,Ki,0.8,nM,=,"E,I",2.0,1e-08,-8.096910013008056
1i3o,2.7,2001,Ki,0.97,nM,=,"A,B,C,D,E,F",6.0,1e-08,-8.013228265733755
1eja,2.7,2001,Ki,1.0,nM,=,"A,B",2.0,1e-08,-8.0
1id5,2.5,2001,Ki,1.5,nM,=,"L,H,I",3.0,1e-08,-7.823908740944319
1f7z,1.55,2001,Ki,12.4,uM,=,"A,I",2.0,1e-05,-3.906578314837765
3tgk,1.7,2001,Ki,12.0,uM,=,,,1e-05,-3.920818753952375
1jtd,2.3,2001,Ki,27.2,pM,=,"A,B",2.0,1e-11,-9.5654310959658
1f5r,1.65,2001,Ki,65.0,uM,=,"A,I",2.0,1e-05,-3.1870866433571443
1gpw,2.4,2002,Kd,0.019,uM,=,"A,B,C,D,E,F",6.0,1e-05,-6.721246399047171
1jmo,2.2,2002,Kd,0.115,uM,=,"L,H,A,B",4.0,1e-05,-5.939302159646388
1jps,1.85,2002,Kd,0.1,nM,=,"L,H,T",3.0,1e-08,-9.0
1lm8,1.85,2002,Kd,0.22,uM,=,"B,C,V,H",4.0,1e-05,-5.657577319177793
1lzw,2.5,2002,Kd,0.33,uM,=,"A,B",2.0,1e-05,-5.481486060122112
1l2w,2.0,2002,Kd,0.3,nM,=,"A,B,C,D,E,F,G,H,I,J,K,L",12.0,1e-08,-8.522878745280337
1i51,2.45,2002,Kd,0.63,uM,=,"A,B,C,D,E,F",6.0,1e-05,-5.200659450546418
1go4,2.05,2002,Kd,1.04,uM,=,"A,B,C,D,E,F,G,H",8.0,1e-05,-4.982966660701219
1jwh,3.1,2002,Kd,12.6,nM,=,"A,B,C,D",4.0,1e-08,-6.8996294548824375
1l4z,2.8,2002,Kd,196.6,nM,=,"A,B",2.0,1e-08,-5.706416486503883
1l4d,2.3,2002,Kd,196.6,nM,=,"A,B",2.0,1e-08,-5.706416486503883
1kxp,2.1,2002,Kd,1.0,nM,=,"A,D",2.0,1e-08,-8.0
1mxe,1.7,2002,Kd,1.0,pM,=,"A,E,B,F",4.0,1e-11,-11.0
1k5d,2.7,2002,Kd,1.0,uM,=,"A,B,C,D,E,F,G,H,I,J,K,L",12.0,1e-05,-5.0
1k93,2.95,2002,Kd,20.0,nM,=,"A,B,C,D,E,F",6.0,1e-08,-6.698970004336019
1ktk,3.0,2002,Kd,20.0,uM,=,"A,B,C,D,E,F",6.0,1e-05,-3.6989700043360187
1i8k,1.8,2002,Kd,22.0,nM,=,"A,B,C",3.0,1e-08,-6.657577319177793
1kxt,2.0,2002,Kd,235.0,nM,=,"A,B,C,D,E,F",6.0,1e-08,-5.628932137728263
1ijk,2.6,2002,Kd,23.0,nM,=,"A,B,C",3.0,1e-08,-6.638272163982407
1kgy,2.7,2002,Kd,25.0,nM,=,"A,B,C,D,E,F,G,H",8.0,1e-08,-6.6020599913279625
1kxv,1.6,2002,Kd,25.0,nM,=,"A,B,C,D",4.0,1e-08,-6.6020599913279625
1lj2,2.38,2002,Kd,27.0,uM,=,"A,B,C,D",4.0,1e-05,-3.5686362358410126
1ktz,2.15,2002,Kd,290.0,nM,=,"A,B",2.0,1e-08,-5.5376020021010435
1lw6,1.5,2002,Kd,2.0,pM,=,"E,I",2.0,1e-11,-10.698970004336019
1kxq,1.6,2002,Kd,3.5,nM,=,"A,B,C,D,E,F,G,H",8.0,1e-08,-7.455931955649724
1lqb,2.0,2002,Kd,31.0,nM,=,"A,B,C,D",4.0,1e-08,-6.508638306165727
1kbh,0.0,2002,Kd,34.0,nM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",40.0,1e-08,-6.468521082957745
1h59,2.1,2002,Kd,37.0,nM,=,"A,B",2.0,1e-08,-6.431798275933005
1gng,2.6,2002,Kd,39.0,nM,=,"A,B,X,Y",4.0,1e-08,-6.4089353929735005
1kkl,2.8,2002,Kd,45.0,nM,=,"A,B,C,H,I,J",6.0,1e-08,-6.346787486224656
1eaw,2.93,2002,Kd,49.7,pM,=,"A,B,C,D",4.0,1e-11,-9.303643611266669
1lqs,2.7,2002,Kd,4.0,nM,=,"R,S,L,M",4.0,1e-08,-7.3979400086720375
1gxd,3.1,2002,Kd,5.2,nM,=,"A,B,C,D",4.0,1e-08,-7.2839966563652006
1m10,3.1,2002,Kd,5.8,nM,=,"A,B",2.0,1e-08,-7.236572006437063
1jsp,0.0,2002,Kd,50.0,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",40.0,1e-05,-3.3010299956639813
1l0x,2.8,2002,Kd,6.0,uM,=,"A,B,C,D",4.0,1e-05,-4.221848749616356
1l8c,0.0,2002,Kd,7.0,nM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",40.0,1e-08,-7.154901959985743
1m1e,2.1,2002,Kd,1.0,nM,~,"A,B",2.0,1e-08,-8.0
1l0y,2.5,2002,Kd,6.0,uM,~,"A,B,C,D",4.0,1e-05,-4.221848749616356
1k2d,2.2,2003,IC50,100.0,uM,=,"A,B,P",3.0,1e-05,-3.0
1ob1,2.9,2003,Kd,0.2,nM,=,"A,B,C,D,E,F",6.0,1e-08,-8.698970004336019
1jgn,0.0,2003,Kd,0.35,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",60.0,1e-05,-5.455931955649724
1ogy,3.2,2003,Kd,0.5,nM,=,"A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P",16.0,1e-08,-8.301029995663981
1op9,1.86,2003,Kd,0.7,nM,=,"A,B",2.0,1e-08,-8.154901959985743
1p27,2.0,2003,Kd,0.7,nM,=,"A,B,C,D",4.0,1e-08,-8.154901959985743
1p9m,3.65,2003,Kd,0.8,nM,=,"A,B,C",3.0,1e-08,-8.096910013008056
1lx5,3.3,2003,Kd,1.2,nM,=,"A,B,C",3.0,1e-08,-7.920818753952375
1p3q,1.7,2003,Kd,1.2,uM,=,"Q,R,U,V",4.0,1e-05,-4.920818753952375
1n64,2.34,2003,Kd,1.3,nM,=,"L,H,P",3.0,1e-08,-7.886056647693163
1j2j,1.6,2003,Kd,1.4,uM,=,"A,B",2.0,1e-05,-4.853871964321762
1jh4,0.0,2003,Kd,1.5,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",60.0,1e-05,-4.823908740944319
1mzw,2.0,2003,Kd,1.97,uM,=,"A,B",2.0,1e-05,-4.705533773838407
1oqe,2.5,2003,Kd,109.0,nM,=,"A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R",18.0,1e-08,-5.962573502059376
1nys,3.05,2003,Kd,10.0,nM,=,"A,B,C,D",4.0,1e-08,-7.0
1nyu,3.1,2003,Kd,10.0,nM,=,"A,B,C,D",4.0,1e-08,-7.0
1mi5,2.5,2003,Kd,10.0,uM,=,"A,B,C,D,E",5.0,1e-05,-4.0
1p9d,0.0,2003,Kd,12.9,uM,=,"S,U,S,U,S,U,S,U,S,U,S,U,S,U,S,U,S,U,S,U",20.0,1e-05,-3.8894102897007508
1uad,2.1,2003,Kd,137.0,nM,=,"A,B,C,D",4.0,1e-08,-5.863279432843593
1otr,0.0,2003,Kd,155.0,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",40.0,1e-05,-2.8096683018297086
1pjm,2.5,2003,Kd,180.0,nM,=,"A,B",2.0,1e-08,-5.7447274948966935
1mhh,2.1,2003,Kd,1.0,nM,=,"A,B,C,D,E,F",6.0,1e-08,-8.0
1o9a,0.0,2003,Kd,1.0,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",30.0,1e-05,-5.0
1m5n,2.9,2003,Kd,2.1,nM,=,"S,Q",2.0,1e-08,-7.6777807052660805
1psb,0.0,2003,Kd,20.0,uM,=,"A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D",80.0,1e-05,-3.6989700043360187
1pjn,2.5,2003,Kd,22.0,nM,=,"A,B",2.0,1e-08,-6.657577319177793
1h1v,3.0,2003,Kd,23.0,nM,=,"A,G",2.0,1e-08,-6.638272163982407
1q0w,0.0,2003,Kd,277.0,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",40.0,1e-05,-2.5575202309355514
1r0r,1.1,2003,Kd,29.4,pM,=,"E,I",2.0,1e-11,-9.531652669587842
1uex,2.85,2003,Kd,2.0,nM,=,"A,B,C",3.0,1e-08,-7.698970004336019
1lp1,2.3,2003,Kd,2.0,uM,=,"A,B",2.0,1e-05,-4.698970004336019
1p4l,2.9,2003,Kd,3.0,uM,=,"A,B,P,D",4.0,1e-05,-4.522878745280337
1ozs,0.0,2003,Kd,31.0,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",60.0,1e-05,-3.5086383061657274
1mq8,3.3,2003,Kd,3.0,uM,=,"A,B,C,D,E,F,G,H",8.0,1e-05,-4.522878745280337
1q68,0.0,2003,Kd,400.0,nM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",20.0,1e-08,-5.3979400086720375
1p22,2.95,2003,Kd,480.0,nM,=,"A,B,C",3.0,1e-08,-5.318758762624412
1oey,2.0,2003,Kd,4.0,nM,=,"A,B,C,D,J,K,L,M",8.0,1e-08,-7.3979400086720375
1o95,3.7,2003,Kd,5.0,uM,=,"A,B,C,D,E,F",6.0,1e-05,-4.301029995663981
1h0t,0.0,2003,Kd,6.0,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",80.0,1e-05,-4.221848749616356
1pvh,2.5,2003,Kd,80.0,nM,=,"A,B,C,D",4.0,1e-08,-6.096910013008056
1p1z,3.26,2003,Kd,80.0,uM,=,"A,B,P,D",4.0,1e-05,-3.0969100130080562
1q69,0.0,2003,Kd,900.0,nM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",20.0,1e-08,-5.045757490560675
1nez,2.1,2003,Kd,10.0,uM,~,"A,B,G,H",4.0,1e-05,-4.0
